name	status	detail
strlen_empty	PASS	0
strlen_hello	PASS	5
strlen_one	PASS	1
strcpy_roundtrip	PASS	0
strcpy_empty	PASS	0
strcmp_equal	PASS	0
strcmp_less	PASS	-1
strcmp_greater	PASS	1
strcmp_prefix_shorter	PASS	-1
stricmp_case	PASS	0
stricmp_upper_lower	PASS	0
stricmp_different	PASS	-1
strncmp_equal_prefix	PASS	0
strncmp_diff	PASS	-1
strmatch_found	PASS	1
strmatch_not_found	PASS	1
strmatch_full	PASS	1
strocc_l_in_hello_world	PASS	3
strocc_not_found	PASS	0
strnew_copy	PASS	0
catprint_append	PASS	0
catprint_from_empty	PASS	0
